Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
PID Tuning,Main Current Regulator Gains,Ft-4.31,37,Notch Depth 4th,int,Hz,100,0,100,SET/STR,Always,O,
PID Tuning,Main Current Regulator Gains,Ft-4.32,38,Resonant Freq Suppression 5th,int,Hz,10000,0,10000,SET/STR,Always,O,
PID Tuning,Main Current Regulator Gains,Ft-4.33,39,Notch Width 5th,int,Hz,10,0,20,SET/STR,Always,O,
PID Tuning,Main Current Regulator Gains,Ft-4.34,40,Notch Depth 5th,int,Hz,100,0,100,SET/STR,Always,O,
PID Tuning,Persistent Vibration Filter,Ft-2.31/D1,41,POC Enable,int,-,,,,SET/STR,,O,[v2.10+]
PID Tuning,Persistent Vibration Filter,Ft-2.31/D2,42,POC BPF Upper Cutoff Freq Order Select,int,-,,,,SET/STR,,O,[v2.10+]
PID Tuning,Persistent Vibration Filter,Ft-2.32,43,POC BPF Upper Cut Off Frequency,int,Hz,600,0,10000,SET/STR,Always,O,[v2.10+]
PID Tuning,Persistent Vibration Filter,Ft-2.33,44,POC BPF Lower Cut Off Frequency,int,Hz,15,0,10000,SET/STR,Always,O,[v2.10+]
PID Tuning,Persistent Vibration Filter,Ft-2.34,45,POC Kd Gain,int,-,10,0,10000,SET/STR,Always,O,[v2.10+]
PID Tuning,Persistent Vibration Filter,Ft-2.35,46,POC LPF,int,Hz,50,0,10000,SET/STR,Always,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.38/D3,47,Current POC Enable,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.44,48,Current POC Kr Filter,int,Hz,3500,0,10000,SET/STR,,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.45,49,Current POC BPF Upper Cutoff Freq,int,Hz,2500,0,10000,SET/STR,,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.46,50,Current POC BPF Lower Cutoff Freq,int,Hz,10,0,10000,SET/STR,,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.47,51,Current POC Kd Gain,int,Hz,2000,0,10000,SET/STR,,O,[v2.10+]
PID Tuning,Current Loop POC Filter,Ft-4.48,52,Current POC Operation Delay,int,msec,0,0,10000,SET/STR,,O,[v2.10+]
PID Tuning,Autotuning,Ft-0.03/D2,53,Off-Line Auto Tuning Velocity,int,*100rpm,7,2,9,SET/STR,Servo Off,O,
PID Tuning,Autotuning,Ft-0.03/D0,54,Off-Line Auto Tuning Mode,enum,-,1,0,2,SET/STR,Servo Off,O,0: Inertia Moment Estimation; 1: Inertia Moment Estimation and Resonant Frequency Detection; 2: Resonant Frequency Detection
PID Tuning,Gain Switching,Ft-0.05/D2,55,Gain Switching,enum,-,0,0,1,STR,Drive Off=>On,O,0: Disable; 1: Enable
PID Tuning,Gain Switching,Ft-0.06/D2,56,Mode of Gain Switching,enum,-,0,0,9,SET/STR,Always,O,0: 1st Gain Fix; 1: 2nd Gain Fix; 2: Digital Input (G-SEL); 3: Torque Command Deviation; 4: Velocity Command; 5: Position Error; 6: Position Command; 7: In-Position; 8: Velocity; 9: Position Command and Speed
PID Tuning,Gain Switching,Ft-1.10,57,Gain Switch Delay Time,int,*0.125msec,0,0,10000,SET/STR,Always,O,
PID Tuning,Gain Switching,Ft-1.11,58,Gain Switch Level,int,Ft-0.06 D2에 따름,0,0,10000,SET/STR,Always,O,
PID Tuning,Gain Switching,Ft-1.12,59,Gain Switch Hysteresis,int,Ft-0.06 D2에 따름,0,0,10000,SET/STR,Always,O,
PID Tuning,Gain Switching,Ft-1.13,60,Gain Switch Position Time,int,*0.125msec,0,0,10000,SET/STR,Always,O,
PID Tuning,2nd Regulator Gains,Ft-1.14,61,2nd Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
PID Tuning,2nd Regulator Gains,Ft-1.15,62,2nd Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
PID Tuning,2nd Regulator Gains,Ft-1.16,63,2nd Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
PID Tuning,2nd Regulator Gains,Ft-4.03,64,2nd Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
PID Tuning,3rd Regulator Gains,Ft-1.17,65,3rd Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
PID Tuning,3rd Regulator Gains,Ft-1.18,66,3rd Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
PID Tuning,3rd Regulator Gains,Ft-1.19,67,3rd Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
PID Tuning,3rd Regulator Gains,Ft-4.04,68,3rd Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
PID Tuning,4th Regulator Gains,Ft-1.20,69,4th Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
PID Tuning,4th Regulator Gains,Ft-1.21,70,4th Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
PID Tuning,4th Regulator Gains,Ft-1.22,71,4th Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
PID Tuning,4th Regulator Gains,Ft-4.05,72,4th Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
PID Tuning,Vibration Suppression,Ft-3.14,73,1st Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,[v<1.20]
PID Tuning,Vibration Suppression,Ft-3.15,74,1st Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
PID Tuning,Vibration Suppression,Ft-3.16,75,2nd Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,
PID Tuning,Vibration Suppression,Ft-3.17,76,2nd Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
PID Tuning,Extension,Ft-4.35,77,Main Current Regulator Max Bandwidth,int,Hz,0,0,100,STR,Power cycling,O,Ft-4.06 과 유사 기능(더 세분화) [v2.03 only]
Tuningless,(top-level),Ft-1.23/D0,1,Tuning Mode,int,-,0,0,2,SET/STR,Servo Off,O,2016.01.12 추가
Tuningless,(top-level),Ft-4.22/D0,2,ANF Function,enum,-,0,0,1,SET/STR,Servo Off,O,0: Disable; 1: Enable
Tuningless,(top-level),Ft-1.24,3,Tuningless Gain,int,-,5,0,100,SET/STR,Always,O,2016.05.02 변경
Tuningless,(top-level),Ft-1.32,4,Tuningless Fine Gain,int,-,0,0,100,SET/STR,Always,O,[v2.10+]
Tuningless,Model Parameter Estimation,Ft-1.26,5,Load Inertia Ratio,float,-,50,0,3000,SET/STR,Always,O,2016.04.22 추가
Tuningless,Model Parameter Estimation,Ft-1.31,6,Viscous Friction Coefficient,int,-,,,,SET/STR,,,[v2.10+]
Tuningless,Model Parameter Estimation,Ft-1.23/D3,7,Inertia Ratio Estimation Sensitivity,int,-,0,0,2,SET/STR,Servo Off,O,2024.06.19 [v2.10+]
Tuningless,Model Parameter Estimation,Ft-1.25,8,Load Inertia Ratio Select,float,-,1,0,3,SET/STR,Always,O,2016.01.12 추가
Tuningless,Model Parameter Estimation,Ft-1.27/D2,9,Viscous Friction Compensator,int,-,Enable (0),Enable (0),Disable (1),SET/STR,Servo Off,O,V2.10 추가 [v2.10+]
Tuningless,Model Parameter Estimation,Ft-1.27/D3,10,On-Line Parameter Estimation,int,-,,,,SET/STR,,O,V2.10 추가 [v2.10+]
Tuningless,Command Smoothing Filter,Ft-3.04,11,Moving Average Filter,int,-,320,0,1000,SET/STR,Servo Off,O,
Tuningless,Command Smoothing Filter,Ft-3.31,12,Position Smoothing Filter,int,0.1 Hz,39,0,1000,SET/STR,Always,,V2.10 추가 [v2.10+]
Tuningless,Command Smoothing Filter,Ft-2.27,13,Velocity Command Smoothing Filter,int,Hz,386,0,10000,SET/STR,Always,O,[v2.10+]
Tuningless,Command Smoothing Filter,Ft-1.27/D1,14,Command Smoothing Filter Bandwidth Interlocking,int,-,Enable (0),Enable (0),Disable (1),SET/STR,Always,O,V2.10 추가 [v2.10+]
Tuningless,Advanced Settings,Ft-1.27/D0,15,Smart Tuning Positioning Mode,int,-,0x,0x0,0x2,SET/STR,Servo Off,O,V2.10 추가 [v2.10+]
Tuningless,Advanced Settings,Ft-1.33,16,Tuningless Feedforward Gain,int,-,0,0,500,SET/STR,Always,O,[v2.10+]
Tuningless,Advanced Settings,Ft-4.37,17,Sliding Surface Slope,int,%,100,0,1000,SET/STR,Always,O,[v2.10+]
Tuningless,Advanced Settings,Ft-4.38/D1,18,Sliding Surface Slope Interlocking,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
