Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
Encoders,(top-level),Ft-0.05/D1,4,Absolute Single Turn Reset,enum,-,0,0,1,STR,Drive Off=>On,O,0: Enable(Absolute Encoder Single Turn Clear); 1: Disable(Absolute Encoder Single Turn Hold) [v1.06+]
Encoders,(top-level),Ft-0.06/D3,5,Absolute Feedback Transfer Type,enum,-,0,0,2,SET/STR,Always,O,0: Same as Command Polarity; 1: Always CCW; 2: Always CW
Encoders,Touch Probe 1,Ft-3.21/D0,6,Touch Probe (composite parent),int,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 1,Ft-3.21/B0,7,Enable Touch Probe 1,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 1,Ft-3.21/B4,8,Touch Probe 1 Mode,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 1,Ft-3.21/B8,9,Touch Probe 1 Trigger,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 1,Ft-3.21/B12,10,Touch Probe 1 Positive Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 1,Ft-3.21/B13,11,Touch Probe 1 Negative Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 2,Ft-3.21/B1,12,Enable Touch Probe 2,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 2,Ft-3.21/B5,13,Touch Probe 2 Mode,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 2,Ft-3.21/B9,14,Touch Probe 2 Trigger,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 2,Ft-3.21/B14,15,Touch Probe 2 Positive Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe 2,Ft-3.21/B15,16,Touch Probe 2 Negative Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Encoders,Touch Probe (old),Ft-3.21,17,Enable Touch Probe,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Encoders,Touch Probe (old),Ft-3.21,18,Touch Probe Mode,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Encoders,Touch Probe (old),Ft-3.21,19,Touch Probe Source,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Encoders,Touch Probe (old),Ft-3.21,20,Touch Probe Edge,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Encoders,Gear Ratio,Ft-3.00/D3,21,Gear Ratio Change,enum,-,0,0,1,SET/STR,Servo Off,O,0: Enable Only on Drive Disabled; 1: Always Enable [v2.05+]
Encoders,Gear Ratio,Ft-3.05/3.06,22,Gear Ratio,int,-,1,1,8388608,SET/STR,Servo Off,O,FW 2.05 추가 [v2.05+]
Digital Inputs,Polarity Settings,Ft-5.38/D0,1,Input NOT Polarity,int,-,0,0,1,SET/STR,Servo Off,O,
Digital Inputs,Polarity Settings,Ft-5.38/D1,2,Input POT Polarity,int,-,0,0,1,SET/STR,Servo Off,O,
Digital Inputs,Polarity Settings,Ft-5.38/D2,3,Input HOME Polarity,int,-,0,0,1,SET/STR,Servo Off,O,
Faults,(top-level),Ft-3.20,1,Following Error Limit,int,-,41943040,0,2147483647,SET/STR,Always,O,2022.03.21 2147483647 -> 41943040
Faults,(top-level),Ft-5.04,2,AC Line Loss Delay,int,-,20,20,2000,SET/STR,Servo Off,O,
ServiceInfo,Edit,Ft-7.00,1,Drive Size,int,-,400,50,1500,SET,Special,O,
ServiceInfo,Edit,Ft-7.01,2,Bus Voltage Offset,int,-,0,-100,100,SET,Special,O,
ServiceInfo,Edit,Ft-7.07,3,DC Bus Scaling,int,-,0,-1000,1000,SET,Special,O,
ServiceInfo,Edit,Ft-6.00,4,U Phase Current Offset,int,-,0,-60000,60000,SET/STR,Servo Off,O,
ServiceInfo,Edit,Ft-6.01,5,W Phase Current Offset,int,-,0,-60000,60000,SET/STR,Servo Off,O,
ServiceInfo,Edit,Ft-7.02,6,Product Code,enum,-,0,0,1000,SET,Special,O,310: 아날로그형 고급 모델; 315: 네트워크형 고급 모델; 301: 아날로그형 표준 모델(Safety 없음); 305: 네트워크형 표준 모델(Safety 없음)
ServiceInfo,Edit,Ft-7.08,7,Serial Number,enum,-,0,0,65535,SET,Special,O,New
ServiceInfo,Edit,Ft-6.02,9,Abs Single Turn Offset,int,-,0,0,8388607,SET/STR,Servo Off,O,CSD7 신규기능
ServiceInfo,Status,Ft-6.00,10,U Phase Current Offset,int,-,0,-60000,60000,SET/STR,Servo Off,O,
ServiceInfo,Status,Ft-6.01,11,W Phase Current Offset,int,-,0,-60000,60000,SET/STR,Servo Off,O,
ServiceInfo,Status,Ft-7.01,12,Bus Voltage Offset,int,-,0,-100,100,SET,Special,O,
ServiceInfo,Status,Ft-7.07,13,DC Bus Scaling,int,-,0,-1000,1000,SET,Special,O,
ServiceInfo,Status,Ft-6.03,14,Dynamic Brake Circuit Protection,enum,-,0x0001,0x0000,0x0001,SET/STR,Servo Off,O,0: Disable; 1: Enable
ServiceInfo,Status,Ft-6.02,15,Abs Single Turn Offset,int,-,0,0,8388607,SET/STR,Servo Off,O,CSD7 신규기능
ServiceInfo,Status,Ft-7.02,16,Product Code,enum,-,0,0,1000,SET,Special,O,310: 아날로그형 고급 모델; 315: 네트워크형 고급 모델; 301: 아날로그형 표준 모델(Safety 없음); 305: 네트워크형 표준 모델(Safety 없음)
Control Panel,Velocity Control Panel,Ft-2.05,1,Jog Velocity Command,int,rpm(mm/sec),(dynamic),0,6000,SET/STR,Always,O,
Group/Group 0 : Basic,(top-level),Ft-0.02/D0,1,Fault and Disable Braking,enum,-,0,0,3,SET/STR,Servo Off,O,0: Brake and hold; 1: Brake and release; 2: Free Stop; 3: Free Stop and hold
Group/Group 0 : Basic,(top-level),Ft-0.02/D1,2,Overtravel Stop Method,enum,-,2,0,2,SET/STR,Servo Off,O,0: Current Control; 1: Dynamic Brake; 2: No Action
Group/Group 0 : Basic,(top-level),Ft-0.02/D2,3,Command Polarity,enum,-,0,0,1,SET/STR,Servo Off,O,0: Normal; 1: Inverted
Group/Group 0 : Basic,(top-level),Ft-0.02/D3,4,AC Line Loss Check,enum,-,0,0,2,SET/STR,Servo Off,O,0: Enable; 1: Disable; 2: Single phase input
Group/Group 0 : Basic,(top-level),Ft-0.03/D0,5,Off-Line Auto Tuning Mode,enum,-,1,0,2,SET/STR,Servo Off,O,0: Inertia Moment Estimation; 1: Inertia Moment Estimation and Resonant Frequency Detection; 2: Resonant Frequency Detection
Group/Group 0 : Basic,(top-level),Ft-0.03/D2,6,Off-Line Auto Tuning Velocity,int,*100rpm,7,2,9,SET/STR,Servo Off,O,
Group/Group 0 : Basic,(top-level),Ft-0.04,7,Inertia Ratio,float,*0.01%,1,0,60,SET/STR,Always,O,
Group/Group 0 : Basic,(top-level),Ft-0.05/D0,8,Encoder Backup Battery,enum,-,1,0,1,STR,Drive Off=>On,O,0: Installed; 1: Not Installed [v1.06+]
Group/Group 0 : Basic,(top-level),Ft-0.05/D1,9,Absolute Single Turn Reset,enum,-,0,0,1,STR,Drive Off=>On,O,0: Enable(Absolute Encoder Single Turn Clear); 1: Disable(Absolute Encoder Single Turn Hold) [v1.06+]
Group/Group 0 : Basic,(top-level),Ft-0.05/D2,10,Gain Switching,enum,-,0,0,1,STR,Drive Off=>On,O,0: Disable; 1: Enable
Group/Group 0 : Basic,(top-level),Ft-0.05/D3,11,Emergency Stop Input,enum,-,0,0,1,STR,Drive Off=>On,O,0: Disable; 1: Enable
Group/Group 0 : Basic,(top-level),Ft-0.06/D0,12,Shunt Resistor Connection,int,-,0,0,2,SET/STR,Always,O,파라메터만 추가 [v2.00+]
Group/Group 0 : Basic,(top-level),Ft-0.06/D1,13,Absolute Homing Completed,int,-,0,0,1,SET/STR,Always,X,Incremental Feedback Loss [v2.02+]
Group/Group 0 : Basic,(top-level),Ft-0.06/D2,14,Mode of Gain Switching,enum,-,0,0,9,SET/STR,Always,O,0: 1st Gain Fix; 1: 2nd Gain Fix; 2: Digital Input (G-SEL); 3: Torque Command Deviation; 4: Velocity Command; 5: Position Error; 6: Position Command; 7: In-Position; 8: Velocity; 9: Position Command and Speed
Group/Group 0 : Basic,(top-level),Ft-0.06/D3,15,Absolute Feedback Transfer Type,enum,-,0,0,2,SET/STR,Always,O,0: Same as Command Polarity; 1: Always CCW; 2: Always CW
Group/Group 0 : Basic,(top-level),Ft-0.07,16,Drive Address,int,-,1,1,247,SET/STR,Always,O,
Group/Group 0 : Basic,(top-level),"Ft-0.10~0.19, 0.22~0.27",17,Input/Output Signal Allocation (loop),int,-,,,,SET/STR,,,
Group/Group 0 : Basic,(top-level),Ft-0.33,18,Alias ID,int,-,(dynamic),0,255,SET/STR,Always,O,CSD7 신규기능
Group/Group 0 : Basic,(top-level),Ft-0.34,19,Load Side BiSS Protocol,int,-,,,,SET/STR,,,
Group/Group 1 : Gain,(top-level),Ft-1.00,1,Velocity Response Level,int,%,35,1,100,SET/STR,Always,O,
Group/Group 1 : Gain,(top-level),Ft-1.01,2,System Gain,int,Hz,30,10,500,SET/STR,Always,O,상향 조정 필요함.
Group/Group 1 : Gain,(top-level),Ft-1.02,3,Velocity P Gain,int,-,215,0,40000,SET/STR,Always,O,
Group/Group 1 : Gain,(top-level),Ft-1.03,4,Velocity I Gain,int,-,125,0,16000000,SET/STR,Always,O,
Group/Group 1 : Gain,(top-level),Ft-1.04,5,Velocity I Gain Mode,int,-,0x0000,0x0000,0x0004,SET/STR,Servo Off,O,
Group/Group 1 : Gain,(top-level),Ft-1.05,6,Velocity I Gain Disable Threshold,int,-,100,0,3000,SET/STR,Always,O,
Group/Group 1 : Gain,(top-level),Ft-1.06,7,Velocity D Gain,int,-,0,0,1000,SET/STR,Always,O,
Group/Group 1 : Gain,(top-level),Ft-1.07,8,1st Position Regulator Kp Gain,int,Hz,30,0,700,SET/STR,Always,O,
Group/Group 1 : Gain,Gain Switching,Ft-1.10,9,Gain Switch Delay Time,int,*0.125msec,0,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,Gain Switching,Ft-1.11,10,Gain Switch Level,int,Ft-0.06 D2에 따름,0,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,Gain Switching,Ft-1.12,11,Gain Switch Hysteresis,int,Ft-0.06 D2에 따름,0,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,Gain Switching,Ft-1.13,12,Gain Switch Position Time,int,*0.125msec,0,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,2nd Regulator Gains,Ft-1.14,13,2nd Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,2nd Regulator Gains,Ft-1.15,14,2nd Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
Group/Group 1 : Gain,2nd Regulator Gains,Ft-1.16,15,2nd Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
Group/Group 1 : Gain,3rd Regulator Gains,Ft-1.17,16,3rd Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,3rd Regulator Gains,Ft-1.18,17,3rd Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
Group/Group 1 : Gain,3rd Regulator Gains,Ft-1.19,18,3rd Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
Group/Group 1 : Gain,4th Regulator Gains,Ft-1.20,19,4th Velocity P Gain,int,-,60,0,10000,SET/STR,Always,O,
Group/Group 1 : Gain,4th Regulator Gains,Ft-1.21,20,4th Velocity I Gain,int,-,26,0,60000,SET/STR,Always,O,
Group/Group 1 : Gain,4th Regulator Gains,Ft-1.22,21,4th Position Kp Gain,int,-,20,0,700,SET/STR,Always,O,
Group/Group 1 : Gain,Tuningless,Ft-1.23/D0,22,Tuning Mode,int,-,0,0,2,SET/STR,Servo Off,O,2016.01.12 추가 [v1.20+]
Group/Group 1 : Gain,Tuningless,Ft-1.23/D3,23,Inertia Ratio Estimation Sensitivity,int,-,0,0,2,SET/STR,Servo Off,O,2024.06.19 [v2.10+]
Group/Group 1 : Gain,Tuningless,Ft-1.24,24,Tuningless Gain,int,-,5,0,100,SET/STR,Always,O,2016.05.02 변경 [v1.20+]
Group/Group 1 : Gain,Tuningless,Ft-1.25,25,Load Inertia Ratio Select,float,-,1,0,3,SET/STR,Always,O,2016.01.12 추가 [v1.20+]
Group/Group 1 : Gain,Tuningless,Ft-1.26,26,Load Inertia Ratio,float,-,50,0,3000,SET/STR,Always,O,2016.04.22 추가 [v1.20+]
Group/Group 1 : Gain,(unnamed),Ft-1.27/D0,27,Smart Tuning Positioning Mode,int,-,0x,0x0,0x2,SET/STR,Servo Off,O,V2.10 추가 [v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.27/D1,28,Command Smoothing Filter Bandwidth Interlocking,int,-,Enable (0),Enable (0),Disable (1),SET/STR,Always,O,V2.10 추가 [v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.27/D2,29,Viscous Friction Compensator,int,-,Enable (0),Enable (0),Disable (1),SET/STR,Servo Off,O,V2.10 추가 [v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.27/D3,30,On-Line Parameter Estimation,int,-,,,,SET/STR,,O,V2.10 추가 [v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.31,31,Viscous Friction Coefficient,int,-,,,,SET/STR,,,[v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.32,32,Tuningless Fine Gain,int,-,0,0,100,SET/STR,Always,O,[v2.10+]
Group/Group 1 : Gain,(unnamed),Ft-1.33,33,Tuningless Feedforward Gain,int,-,0,0,500,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.02,1,Velocity Command LPF Bandwidth,int,Hz,1000,0,10000,SET/STR,Always,O,[v2.00+]
Group/Group 2 : Velocity,(top-level),Ft-2.03,2,Velocity Error Filter Bandwidth,int,Hz,30,0,2500,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.04,3,Velocity Feed Forward,int,-,0,0,6000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.05,4,Jog Velocity Command,int,rpm(mm/sec),(dynamic),0,6000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.06,5,Acceleration,int,x0.01 Rev/sec2 (mm/sec2),(dynamic),1,2147483647,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.07,6,Deceleration,int,x0.01 Rev/sec2 (mm/sec2),(dynamic),1,0x7fffffff,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.08,7,S-Curve Time,int,msec,(dynamic),0,5000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.16,8,Manual Velocity Limit,int,rpm(mm/sec),(dynamic),1,6000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.17/D0,9,Velocity Limit Mode,int,-,(dynamic),0x0,0x1,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.17/D1,10,Field Weakening Mode,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,
Group/Group 2 : Velocity,(top-level),Ft-2.18,11,Velocity Window,int,-,(dynamic),0,1000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.19,12,Up to Velocity,int,-,(dynamic),1,5000,SET/STR,Always,O,
Group/Group 2 : Velocity,(top-level),Ft-2.21,13,Test Run Dwell Period,int,msec,500,500,5000,SET/STR,Servo Off,O,CSD7 신규기능
Group/Group 2 : Velocity,(top-level),Ft-2.25,14,Linear Overspeed Level,int,0.001 m/s,0,0,5,SET/STR,Always,O,CSD7 신규기능 [v2.03+]
Group/Group 2 : Velocity,(top-level),Ft-2.26,15,Linear Velocity Error Limit,int,0.001 m/s,0,0,5,SET/STR,Always,O,CSD7 신규기능 [v2.03+]
Group/Group 2 : Velocity,(top-level),Ft-2.27,16,Vel Cmd Smoothing Filter,int,Hz,386,0,10000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.28,17,Path Tracking Mode Vel LPF BW,int,Hz,38,0,6000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.29,18,Path Tracking Mode Vel FF LPF BW,int,Hz,29,0,6000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.31/D1,19,POC Enable,int,-,,,,SET/STR,,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.31/D2,20,POC BPF Upper Cutoff Freq Order Select,int,-,,,,SET/STR,,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.32,21,POC BPF Upper Cut Off Frequency,int,Hz,600,0,10000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.33,22,POC BPF Lower Cut Off Frequency,int,Hz,15,0,10000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.34,23,POC Kd Gain,int,-,10,0,10000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.35,24,POC LPF,int,Hz,50,0,10000,SET/STR,Always,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.36,25,Field Weakening Start Velocity,int,rpm(mm/sec),0,0,6000,SET/STR,Servo Off,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.37,26,Maximum Extended Velocity,int,rpm(mm/sec),0,0,6000,SET/STR,Servo Off,O,[v2.10+]
Group/Group 2 : Velocity,(top-level),Ft-2.38,27,Field Weakening Current Command Gain,int,-,0,0,100,SET/STR,Servo Off,O,[v2.10+]
Group/Group 3 : Position,(top-level),Ft-3.00/D2,1,Encoder Output Forward Direction,enum,-,0,0,1,SET/STR,Servo Off,O,0: A Leads B; 1: B Leads A
Group/Group 3 : Position,(top-level),Ft-3.00/D3,2,Gear Ratio Change,enum,-,0,0,1,SET/STR,Servo Off,O,0: Enable Only on Drive Disabled; 1: Always Enable [v2.05+]
Group/Group 3 : Position,(top-level),Ft-3.01,3,Position Filter Bandwidth,int,-,0,0,1000,SET/STR,Always,O,
Group/Group 3 : Position,(top-level),Ft-3.02,4,Position Feed Forward,int,-,0,0,100,SET/STR,Always,O,
Group/Group 3 : Position,(top-level),Ft-3.03,5,Position FF Bandwidth,int,-,200,0,2500,SET/STR,Always,O,
Group/Group 3 : Position,(top-level),Ft-3.04,6,Moving Average Filter,int,-,320,0,1000,SET/STR,Servo Off,O,
Group/Group 3 : Position,(top-level),Ft-3.05/3.06,7,Gear Ratio,int,-,1,1,8388608,SET/STR,Servo Off,O,FW 2.05 추가 [v2.05+]
Group/Group 3 : Position,(top-level),Ft-3.11/3.12,8,Output Ratio / Output Pulses / Motor Pulses,int,-,1,1,8388608,SET/STR,Servo Off,O,
Group/Group 3 : Position,Vibration Suppression,Ft-3.14,9,1st Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,
Group/Group 3 : Position,Vibration Suppression,Ft-3.15,10,1st Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
Group/Group 3 : Position,Vibration Suppression,Ft-3.16,11,2nd Damping Frequency,int,-,0,0,50000,SET/STR,Servo Off,O,
Group/Group 3 : Position,Vibration Suppression,Ft-3.17,12,2nd Damping Ratio,int,-,0,0,0.999,SET/STR,Servo Off,O,
Group/Group 3 : Position,(top-level),Ft-3.18,13,In Position Size,int,-,(dynamic),0,2500,SET/STR,Always,O,2016.08.23수정
Group/Group 3 : Position,(top-level),Ft-3.19,14,Near Position Size,int,-,(dynamic),0,2500,SET/STR,Always,O,2016.08.23수정
Group/Group 3 : Position,(top-level),Ft-3.20,15,Following Error Limit,int,-,41943040,0,2147483647,SET/STR,Always,O,2022.03.21 2147483647 -> 41943040
Group/Group 3 : Position,Touch Probe,Ft-3.21,16,Touch Probe (composite),int,-,strValue,0,0xF333,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B0,17,Enable Touch Probe 1,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B1,18,Enable Touch Probe 2,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B4,19,Touch Probe 1 Mode,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B5,20,Touch Probe 2 Mode,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B8,21,Touch Probe 1 Trigger,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B9,22,Touch Probe 2 Trigger,enum,-,0,0,3,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B12,23,Touch Probe 1 Positive Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B13,24,Touch Probe 1 Negative Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B14,25,Touch Probe 2 Positive Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe,Ft-3.21/B15,26,Touch Probe 2 Negative Edge,enum,-,0,0,F,SET/STR,Always,O,[v2.02+]
Group/Group 3 : Position,Touch Probe (old),Ft-3.21,27,Enable Touch Probe,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Group/Group 3 : Position,Touch Probe (old),Ft-3.21,28,Touch Probe Mode,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Group/Group 3 : Position,Touch Probe (old),Ft-3.21,29,Touch Probe Source,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Group/Group 3 : Position,Touch Probe (old),Ft-3.21,30,Touch Probe Edge,int,-,strValue,0,0xF333,SET/STR,Always,O,[v<2.02]
Group/Group 3 : Position,(top-level),Ft-3.34,31,Outer Loop P Gain,int,-,202,0,6000,SET/STR,Always,O,[v1.20+]
Group/Group 3 : Position,(top-level),Ft-3.36,32,In Position Hold Time,int,msec,0,0,10000,SET/STR,Servo Off,O,[v1.20+]
Group/Group 3 : Position,(top-level),Ft-3.41/D0,33,Position Error Monitoring Method,int,-,,,,SET/STR,Always,O,[v1.20+]
Group/Group 3 : Position,(top-level),Ft-3.43/D0,34,Encoder Signal Filter Enable,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v1.20+]
Group/Group 3 : Position,(top-level),Ft-3.43/D1,35,Path Tracking Input Smoothing Filter Enable,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v1.20+]
Group/Group 3 : Position,Vibration Suppression/Tuningless,Ft-3.22/D0,36,Vibration Auto Search,int,-,0,0,1,SET/STR,Servo Off,O,2016.02.11 추가 [v1.20+]
Group/Group 3 : Position,Vibration Suppression/Tuningless,Ft-3.22/D1,37,Vibration Filter Type,int,-,0,0,2,SET/STR,Servo Off,O,2016.02.11 추가 [v1.20+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.23,38,Fully Closed System Selection,int,-,0,0,1,STR,Drive Off=>On,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.24,39,AqB Scale Counts Per Meter Um,int,um,0,0,100,SET/STR,Servo Off,,"V2.10 추가, 2.14변경 [v2.10+]"
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.25,40,Load Side Encoder Type,int,-,0,0,1,STR,Drive Off=>On,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.26,41,Load Side Encoder Direction,int,-,0,0,1,STR,Drive Off=>On,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.27,42,Conversion Ratio Den,int,-,0,0,2147483647,SET/STR,Servo Off,,"V2.10 추가, 2.14변경 [v2.10+]"
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.28,43,Conversion Ratio Num,int,-,0,0,2147483647,SET/STR,Servo Off,,"V2.10 추가, 2.14변경 [v2.10+]"
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.29,44,Dual Feedback Filter Setting,int,Hz,0,0,1000,STR,Drive Off=>On,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.30,45,Motor Load Position Error Overflow Level,int,Counts,0,0,10000000,SET/STR,Servo Off,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.31,46,Position Smoothing Filter,int,0.1 Hz,39,0,1000,SET/STR,Always,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.32,47,AqB Scale Counts Per Meter,int,Lines/m,0,0,125000000,SET/STR,Servo Off,,V2.10 추가 [v2.10+]
Group/Group 3 : Position,Fully Closed System Setting,Ft-3.33,48,Motor Side Overspeed Level,int,RPM,0,0,6000,SET/STR,Servo Off,,V2.10 추가 [v2.10+]
Group/Group 4 : Current,(top-level),Ft-4.02,1,Current Filter Bandwidth,int,-,500,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.03,2,2nd Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.04,3,3rd Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.05,4,4th Current Bandwidth,int,-,300,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.06,5,Current Gain,int,-,0x0001,0x0000,0x0002,STR,Drive Off=>On,O,
Group/Group 4 : Current,(top-level),Ft-4.07,6,Positive Internal Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.08,7,Negative Internal Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.09,8,Positive External Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.10,9,Negative External Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.11,10,Maximum Stopping Current,int,-,(dynamic),0,500,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.12,11,Initial Current Bias,int,-,(dynamic),-100,100,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.13,12,Resonant Freq Suppression,int,-,10000,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.14,13,Notch Width,int,-,10,0,20,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.15,14,Notch Depth,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Group/Group 4 : Current,(top-level),Ft-4.16,15,Resonant Freq Suppression 2nd,int,-,10000,0,10000,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.17,16,Notch Width 2nd,int,-,10,0,20,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.18,17,Notch Depth 2nd,int,-,100,0,100,SET/STR,Always,O,
Group/Group 4 : Current,(top-level),Ft-4.19,18,Resonant Freq Suppression 3rd,int,-,10000,0,10000,SET/STR,Always,O,CSD7 신규기능
Group/Group 4 : Current,(top-level),Ft-4.20,19,Notch Width 3rd,int,-,10,0,20,SET/STR,Always,O,CSD7 신규기능
